,PERSON,REG_ADDR_KOATUU,OPER_CODE,OPER_NAME,D_REG,DEP_CODE,DEP,BRAND,MODEL,VIN,MAKE_YEAR,COLOR,KIND,BODY,PURPOSE,FUEL,CAPACITY,OWN_WEIGHT,TOTAL_WEIGHT,N_REG_NEW
496714,P,5324085201.0,71,РЕЄСТРАЦІЯ ТЗ ПРИВЕЗЕНОГО З-ЗА КОРДОНУ ПО ПОСВІДЧЕННЮ МИТНИЦІ,03.04.25,12330,ТСЦ 5341,VOLVO,XC90,YV1CZ796451208038,2005,СІРИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,2401.0,2129,2720,ВІ4183ІК
71268,P,510100000.0,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,24.01.25,13659,ТСЦ 0546,HYUNDAI,GETZ,KMHBT51DP8U831874,2008,СИНІЙ,ЛЕГКОВИЙ,ХЕТЧБЕК,ЗАГАЛЬНИЙ,БЕНЗИН,1399.0,1220,1540,АВ2547КХ
229688,P,5124355100.0,254,НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ,16.02.25,10000,OLD_ДДАІ МВС УКРАЇНИ,CHEVROLET,AVEO,Y6DTC58U58Y026605,2008,СИНІЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН,1598.0,1245,1575.0,ВН1150ТА
1032499,P,4621588101.0,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),28.06.25,14855,ТСЦ 4651,TOYOTA,AYGO,JTDKG18C70N656501,2013,БІЛИЙ,ЛЕГКОВИЙ,ХЕТЧБЕК,ЗАГАЛЬНИЙ,БЕНЗИН,998.0,930,1190,ВС5107ОЕ
1009398,P,1212400000.0,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,25.06.25,13653,ТСЦ 6350,VOLKSWAGEN,LT 46,WV1ZZZ2DZ2H005223,2002,БІЛИЙ,ВАНТАЖНИЙ,ФУРГОН,СПЕЦІАЛІЗОВАНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,2798.0,2400,4600,АХ1028МО
429723,P,4810100000.0,250,ВИДАЧА ТИМЧАСОВОГО РЕЄСТР ТАЛОНУ ПО ДОРУЧЕННЮ ЧИ ІНШОГО ДОКУМ.ПРАВОКОРИСТУВАННЯ ,21.03.25,12315,ТСЦ 4841,MERCEDES-BENZ,SPRINTER 413,WDB9046631R145979,2000,БІЛИЙ,АВТОБУС,АВТОБУС,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,2148.0,3100,4600.0,АЕ1212РА
712828,P,6810100000.0,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),08.05.25,12371,ТСЦ 6841,HONDA,ACCORD,JHMCL96806C205685,2006,ЗЕЛЕНИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН,2354.0,1150,1850,ВХ3069ІС
1024147,P,8038600000.0,70,РЕЄСТРАЦIЯ Б/В ТЗ ПРИВЕЗЕНОГО З-ЗА КОРДОНУ ПО ВМД,27.06.25,12375,ТСЦ 6845,TOYOTA,BZ4X,JTMABACA8RA065632,2024,СІРИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,ЕЛЕКТРО,,2075,2550,ВХ3176YА
421176,P,3210500000.0,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),20.03.25,12286,ТСЦ 3247,MERCEDES-BENZ,VITO,WDF44760313166492,2016,БІЛИЙ,ВАНТАЖНИЙ,ФУРГОН,СПЕЦІАЛІЗОВАНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,2143.0,1996,2800,КІ4040СВ
1128740,P,8036600000.0,254,НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ,14.07.25,10000,OLD_ДДАІ МВС УКРАЇНИ,MAZDA,CX-9,JMZTBFWYA00750125,2021,СІРИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,БЕНЗИН,2488.0,1960,2562,КА2454НІ
868374,P,5323880703.0,321,"ПЕРЕРЕЄСТРАЦIЯ ТЗ НА НОВ. ВЛАС. ПО УСПАДКУВАННЮ ЗА ЗАКОНОМ, ЗАПОВIТОМ ЧИ УСПАДКОВАНОМУ ДОГОВОРУ",03.06.25,12384,ТСЦ 7442,VOLKSWAGEN,CC,WVWHP7AN4BE706525,2010,ЧОРНИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН,1984.0,1517,1980,КА6802МС
1197336,P,1210138100.0,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,24.07.25,12241,ТСЦ 1242,MITSUBISHI,LANCER,JMBSNCS3A6U023519,2006,СІРИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН,1584.0,1300,1770,КЕ5373АХ
437679,P,6324255100.0,314,ПЕРЕРЕЄСТРАЦІЯ ТЗ ІЗ УКЛАДАННЯМ ДОГОВОРУ КУПІВЛІ-ПРОДАЖУ ЧЕРЕЗ ЕЛЕКТРОННІ СЕРВІСИ ТА ЗОВНІШНІ РЕСУРСИ,23.03.25,12284,ТСЦ 3245,MERCEDES-BENZ,B 180,WDD2452071J222551,2007,СІРИЙ,ЛЕГКОВИЙ,ХЕТЧБЕК,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,1991.0,1441,1880.0,АТ3067НО
897017,P,4820983501.0,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,07.06.25,12326,ТСЦ 5147,DAEWOO,LANOS,Y6DTF69Y060011787,2006,ЗЕЛЕНИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН,1498.0,1310,1595.0,ВН9894ТО
725750,P,510400000.0,308,ПЕРЕРЕЄСТРАЦІЯ НА НОВОГО ВЛАСНИКА ЗА ДОГ. КУПIВЛI-ПРОДАЖУ (СГ),10.05.25,12231,ТСЦ 0543,HYUNDAI,I20,NLHBA51BADZ184763,2012,КОРИЧНЕВИЙ,ЛЕГКОВИЙ,ХЕТЧБЕК,ЗАГАЛЬНИЙ,БЕНЗИН,1248.0,1045,1515.0,АВ2842МА
794304,P,6110100000.0,560,ЗНЯТТЯ З ОБЛІКУ ПРИ ПОВЕРНЕННІ ІЗ ПОЇЗДКИ ЗА КОРДОН ПО ДОРУЧ.,21.05.25,12353,ТСЦ 6145,DAF,XF 105.460,XLRTE47MS0E895889,2010,БІЛИЙ,ВАНТАЖНИЙ,СІДЛОВИЙ ТЯГАЧ,СПЕЦІАЛІЗОВАНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,12902.0,7385,19000,ВО4215ЕІ
935311,P,5122581601.0,70,РЕЄСТРАЦIЯ Б/В ТЗ ПРИВЕЗЕНОГО З-ЗА КОРДОНУ ПО ВМД,13.06.25,12322,ТСЦ 5142,BMW,X1,WBAVL1C56EVY13571,2013,БІЛИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,БЕНЗИН,1997.0,1725,2135,НН6977АЕ
336698,J,3210600000.0,254,НАЛЕЖНИЙ КОРИСТУВАЧ. РЕЄСТРАЦІЯ,06.03.25,10000,OLD_ДДАІ МВС УКРАЇНИ,VOLKSWAGEN,TIGUAN,WVGZZZ5N7RW070770,2024,БІЛИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,ДИЗЕЛЬНЕ ПАЛИВО,1968.0,1711,2260,КА9519МН
425975,P,8036300000.0,105,"ПЕРВИННА РЕЄСТРАЦІЯ НОВОГО ТЗ ПРИДБАНОГО В ТОРГОВЕЛЬНІЙ ОРГАНІЗАЦІЇ, ЯКИЙ ВВЕЗЕНО З-ЗА КОРДОНУ",21.03.25,12295,ТСЦ 8046,TOYOTA,RAV-4 HYBRID,JTM273FVX0J041576,2024,СІРИЙ,ЛЕГКОВИЙ,УНІВЕРСАЛ,ЗАГАЛЬНИЙ,ЕЛЕКТРО АБО БЕНЗИН,2487.0,1755,2135,АА5221ТВ
488224,P,5321085801.0,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,02.04.25,12330,ТСЦ 5341,SUZUKI,SWIFT,TSMMZC21S00513066,2008,ЧОРНИЙ,ЛЕГКОВИЙ,ХЕТЧБЕК,ЗАГАЛЬНИЙ,БЕНЗИН,1490.0,1060,1300.0,ВІ4139ІК
232096,P,1221455400.0,69,РЕЄСТРАЦІЯ НОВИХ ТЗ ПО АКТУ ПРИЙОМУ-ПЕРЕДАЧІ (ДОД. 6),18.02.25,12240,ТСЦ 1241,ПАЛИЧ,Z02615,Y6WZ02615R0003939,2024,СІРИЙ,ПРИЧІП,ПР-БОРТОВИЙ,ЗАГАЛЬНИЙ,,,231,750.0,АЕ8584ХG
191040,P,6521855100.0,315,ПЕРЕРЕЄСТРАЦІЯ ТЗ НА НОВ. ВЛАСН. ПО ДОГОВОРУ УКЛАДЕНОМУ В ТСЦ,11.02.25,13747,ТСЦ 5152,BMW,328I,WBA3A5G55FNS90351,2015,БІЛИЙ,ЛЕГКОВИЙ,СЕДАН,ЗАГАЛЬНИЙ,БЕНЗИН,1997.0,1595,2005.0,АА8968ВР
